Plaintext_Length,Key_Length,Success_Rate,Avg_Time_sec,Avg_Checked,Avg_Rank_Success
100,4,0.9,1.7391880750656128,4341.8,6.0
100,7,0.5,1.8308651447296143,5785.9,1.4
100,10,0.0,1.8002747774124146,5085.9,21.0
100,12,0.0,1.8835789918899537,5606.2,21.0
300,4,1.0,1.96327383518219,2581.2,6.7
300,7,1.0,1.7677204608917236,2250.1,1.4
300,10,0.0,1.8900484085083007,2319.2,21.0
300,12,0.0,2.7659438371658327,3413.7,21.0
500,4,1.0,1.5529120445251465,1230.2,5.4
500,7,1.0,1.2964299201965332,1241.7,1.5
500,10,0.1,2.394659900665283,1760.1,20.0
500,12,0.0,2.713959789276123,1921.1,21.0
1000,4,1.0,2.9055410861968993,1156.7,3.8
1000,7,1.0,2.283846688270569,994.5,1.6
1000,10,0.0,4.018292474746704,1608.5,21.0
1000,12,0.0,4.437087893486023,1535.6,21.0
